SEQID,AGEG5LFS,GENDER_R,U01b000A,AS_Numeric_Encoding,U01b000S,U01b000T,PVLIT1,PVNUM1
485,55-59,Female,2,"2,1,9",0,105767,243.57464,205.31446
487,35-39,Female,120,"1,2,12,6,7,8,7,8,12,7,8,1,4,2,1,6,10,1,14,7,11,8,13,2,4,1,5,3,2,4,2,1,5,3,2,12,6,1,6,10,1,14,1,14,1,15,16,1,14,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,4,1,5,3,9",1,272942,378.9066,371.26819
493,40-44,Male,32,"15,16,1,6,10,17,7,11,8,14,1,13,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,1,9",1,166354,262.69712,226.64475
494,55-59,Female,69,"6,10,1,7,8,15,7,11,8,13,1,6,1,6,10,1,14,1,14,6,10,1,16,14,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,2,4,1,5,3,2,4,1,5,3,1,2,4,1,5,3,1,20,9",1,373298,279.65265,243.29747
497,40-44,Female,58,"1,2,12,15,1,14,6,10,7,11,8,14,1,16,1,15,1,16,1,13,2,17,2,12,1,3,1,2,1,2,12,1,3,2,12,1,3,9",1,236595,305.7941,305.93501
500,60-65,Male,56,"1,6,2,6,10,7,11,8,1,13,2,4,2,1,5,3,6,10,1,7,11,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,6,1,2,1,9",1,326715,322.27357,294.22766
506,55-59,Male,2,"1,9",0,32932,249.90693,219.07068
513,30-34,Male,54,"2,6,1,2,6,10,7,11,8,1,13,2,1,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,9",1,230192,256.55164,287.16962
518,16-19,Male,45,"1,2,6,10,7,11,8,14,1,13,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,137972,283.19033,260.21187
521,55-59,Female,29,"2,1,6,10,1,14,7,11,8,13,2,1,6,1,9",0,202276,240.74418,213.96914
524,50-54,Female,34,"6,10,1,7,11,8,13,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,103444,361.70266,334.83992
526,50-54,Female,0,9,0,15315,237.04419,213.67989
530,35-39,Female,11,"9,22,6,10,7,11,8,14,1,13,1,9",0,163522,252.67022,220.02173
532,16-19,Female,19,"6,10,7,11,8,14,7,29,8,14,6,10,14,6,10,7,8,1,14,9",0,139906,256.63055,253.43846
541,50-54,Female,0,9,0,46403,286.57459,265.38048
